Zipcode,City,County,State,Country,Timezone
85033-2804,Phoenix,Maricopa,AZ,US,US/Mountain
85041-4119,Phoenix,Maricopa,AZ,US,US/Mountain
85120-9506,Apache Junction,Pinal,AZ,US,US/Mountain
85128,Coolidge,Pinal,AZ,US,US/Mountain
85209-4806,Mesa,Maricopa,AZ,US,US/Mountain
85226-2509,Chandler,Maricopa,AZ,US,US/Mountain
85233-1228,Gilbert,Maricopa,AZ,US,US/Mountain
85251,Phoenix,Maricopa,AZ,US,US/Mountain
85257-1718,Scottsdale,Maricopa,AZ,US,US/Mountain
85283-1830,Tempe,Maricopa,AZ,US,US/Mountain
85283-3519,Tempe,Maricopa,AZ,US,US/Mountain
85302-3148,Glendale,Maricopa,AZ,US,US/Mountain
85308-8205,Glendale,Maricopa,AZ,US,US/Mountain
85353-3310,Tolleson,Maricopa,AZ,US,US/Mountain
85616-8181,Huachuca City,Cochise,AZ,US,US/Mountain
85701-2042,Tucson,Pima,AZ,US,US/Mountain
85710-5306,Tucson,Pima,AZ,US,US/Mountain
85710-6431,Tucson,Pima,AZ,US,US/Mountain
85711-1535,Tucson,Pima,AZ,US,US/Mountain
85713-5933,Tucson,Pima,AZ,US,US/Mountain
85719-4701,Tucson,Pima,AZ,US,US/Mountain
85742-9588,Tucson,Pima,AZ,US,US/Mountain
85745-2034,Tucson,Pima,AZ,US,US/Mountain
87107-5223,Albuquerque,Bernalillo,NM,US,US/Mountain
87121-1153,Albuquerque,Bernalillo,NM,US,US/Mountain
97914-8561,Ontario,Malheur,OR,US,US/Mountain
59034,Hardin,Big Horn,MT,US,US/Mountain
59827-9705,Conner,Ravalli,MT,US,US/Mountain
79901-2704,El Paso,El Paso,TX,US,US/Mountain
79903-5221,El Paso,El Paso,TX,US,US/Mountain
79915-1822,El Paso,El Paso,TX,US,US/Mountain
79915-3624,El Paso,El Paso,TX,US,US/Mountain
79935-1309,El Paso,El Paso,TX,US,US/Mountain
79938-4771,El Paso,El Paso,TX,US,US/Mountain
80102-9020,Bennett,Adams,CO,US,US/Mountain
80203-1415,Denver,Denver,CO,US,US/Mountain
80204-3705,Denver,Denver,CO,US,US/Mountain
80205-2737,Denver,Denver,CO,US,US/Mountain
80211-2743,Denver,Denver,CO,US,US/Mountain
80218-3312,Denver,Denver,CO,US,US/Mountain
80219-2026,Denver,Denver,CO,US,US/Mountain
80219-2718,Denver,Denver,CO,US,US/Mountain
80220-1980,Denver,Denver,CO,US,US/Mountain
80220-4836,Denver,Denver,CO,US,US/Mountain
80401,Golden,Jefferson,CO,US,US/Mountain
80403-8001,Golden,Jefferson,CO,US,US/Mountain
80439-9762,Evergreen,Jefferson,CO,US,US/Mountain
80470-9309,Pine,Jefferson,CO,US,US/Mountain
80547,Timnath,Larimer,CO,US,US/Mountain
80742-9213,New Raymer,Weld,CO,US,US/Mountain
80903-4042,Colorado Springs,El Paso,CO,US,US/Mountain
80906-3713,Colorado Springs,El Paso,CO,US,US/Mountain
80908-4029,Colorado Springs,El Paso,CO,US,US/Mountain
80909-5919,Colorado Springs,El Paso,CO,US,US/Mountain
80918-4124,Colorado Springs,El Paso,CO,US,US/Mountain
82001,Cheyenne,Laramie,WY,US,US/Mountain
82601,Casper,Natrona,WY,US,US/Mountain
83687,Nampa,Canyon,ID,US,US/Mountain
84003-2531,American Fork,Utah,UT,US,US/Mountain
84015-8535,Clearfield,Davis,UT,US,US/Mountain
84070-3213,Sandy,Salt Lake,UT,US,US/Mountain
84103-1224,Salt Lake City,Salt Lake,UT,US,US/Mountain
84115-2501,Salt Lake City,Salt Lake,UT,US,US/Mountain
84115-2735,Salt Lake City,Salt Lake,UT,US,US/Mountain
84321-3921,Logan,Cache,UT,US,US/Mountain
84405-3503,Ogden,Weber,UT,US,US/Mountain
84606-6552,Provo,Utah,UT,US,US/Mountain
84660-5005,Spanish Fork,Utah,UT,US,US/Mountain
85006-3808,Phoenix,Maricopa,AZ,US,US/Mountain
85007-2513,Phoenix,Maricopa,AZ,US,US/Mountain
85007-3926,Phoenix,Maricopa,AZ,US,US/Mountain
85009-1918,Phoenix,Maricopa,AZ,US,US/Mountain
85015-2720,Phoenix,Maricopa,AZ,US,US/Mountain
85017-4732,Phoenix,Maricopa,AZ,US,US/Mountain
85018-6461,Phoenix,Maricopa,AZ,US,US/Mountain
85031-1851,Phoenix,Maricopa,AZ,US,US/Mountain
85033-2333,Phoenix,Maricopa,AZ,US,US/Mountain
85033-3628,Phoenix,Maricopa,AZ,US,US/Mountain
85041-4712,Phoenix,Maricopa,AZ,US,US/Mountain
85042-4521,Phoenix,Maricopa,AZ,US,US/Mountain
85051-3377,Phoenix,Maricopa,AZ,US,US/Mountain
85087-8633,New River,Maricopa,AZ,US,US/Mountain
85201-1115,Mesa,Maricopa,AZ,US,US/Mountain
